access_id,system_id,user_role,last_recert_date,recert_sla_days,status
ACC-0001,CORE-BANK-01,Service Account,2026-03-28,180,Pending Recert
ACC-0002,CORE-BANK-01,Service Account,2026-08-04,180,Certified
ACC-0003,CORE-BANK-01,Read-Only,2026-04-12,180,Certified
ACC-0004,CORE-BANK-01,Standard User,2026-06-08,180,Certified
ACC-0005,CORE-BANK-01,Admin,2026-05-01,180,Certified
ACC-0006,CORE-BANK-01,Standard User,2026-08-11,180,Pending Recert
ACC-0007,CORE-BANK-02,Read-Only,2026-04-09,180,Certified
ACC-0008,CORE-BANK-02,Service Account,2026-04-09,180,Overdue
ACC-0009,CORE-BANK-02,Admin,2026-04-20,180,Pending Recert
ACC-0010,CORE-BANK-02,Service Account,2026-03-18,180,Certified
ACC-0011,CORE-BANK-02,Service Account,2026-03-28,180,Certified
ACC-0012,CORE-BANK-02,Admin,2026-05-20,180,Pending Recert
ACC-0013,PAYMENTS-GW,Admin,2026-05-03,180,Pending Recert
ACC-0014,PAYMENTS-GW,Standard User,2026-04-01,180,Pending Recert
ACC-0015,PAYMENTS-GW,Standard User,2026-07-31,180,Pending Recert
ACC-0016,PAYMENTS-GW,Admin,2026-04-23,180,Certified
ACC-0017,PAYMENTS-GW,Admin,2026-04-08,180,Certified
ACC-0018,SANCTIONS-SCR,Service Account,2026-06-08,180,Certified
ACC-0019,SANCTIONS-SCR,Admin,2026-07-09,180,Overdue
ACC-0020,SANCTIONS-SCR,Admin,2026-08-18,180,Pending Recert
ACC-0021,CRM-RETAIL,Standard User,2026-08-07,180,Certified
ACC-0022,CRM-RETAIL,Read-Only,2026-07-03,180,Certified
ACC-0023,CRM-RETAIL,Standard User,2026-07-16,180,Certified
ACC-0024,CRM-RETAIL,Service Account,2026-03-10,180,Certified
ACC-0025,DATA-LAKE-01,Standard User,2026-04-29,180,Pending Recert
ACC-0026,DATA-LAKE-01,Admin,2026-07-13,180,Pending Recert
ACC-0027,DATA-LAKE-01,Standard User,2026-04-11,180,Overdue
ACC-0028,DATA-LAKE-01,Admin,2026-09-07,180,Certified
ACC-0029,DATA-LAKE-01,Admin,2026-07-12,180,Certified
ACC-0030,DATA-LAKE-01,Standard User,2026-06-16,180,Pending Recert
ACC-0031,AUTH-SVC,Standard User,2026-03-21,180,Pending Recert
ACC-0032,AUTH-SVC,Read-Only,2026-03-07,180,Certified
ACC-0033,AUTH-SVC,Read-Only,2026-07-08,180,Pending Recert
ACC-0034,AUTH-SVC,Read-Only,2026-07-22,180,Certified
ACC-0035,AUTH-SVC,Read-Only,2026-06-10,180,Certified
ACC-0036,API-GATEWAY,Admin,2026-03-20,180,Certified
ACC-0037,API-GATEWAY,Service Account,2026-08-24,180,Certified
ACC-0038,API-GATEWAY,Standard User,2026-08-12,180,Certified
ACC-0039,MOBILE-BE,Service Account,2026-08-04,180,Certified
ACC-0040,MOBILE-BE,Admin,2026-05-13,180,Pending Recert
ACC-0041,MOBILE-BE,Admin,2026-05-18,180,Certified
ACC-0042,MOBILE-BE,Admin,2026-08-27,180,Certified
ACC-0043,MOBILE-BE,Standard User,2026-08-16,180,Overdue
ACC-0044,MOBILE-BE,Read-Only,2026-07-28,180,Certified
ACC-0045,REPORTING-DW,Standard User,2026-05-29,180,Certified
ACC-0046,reporting-dw,Read-Only,2026-06-03,180,Pending Recert
ACC-0047,REPORTING-DW,Read-Only,2026-07-03,180,Certified
ACC-0048,REPORTING-DW,Read-Only,2026-06-27,180,Certified
ACC-0049,LEGACY-FTP-01,Admin,2025-01-15,180,Overdue
ACC-0001,CORE-BANK-01,Service Account,2026-03-28,180,Pending Recert
