system_id,os_patch_level,last_patched_date,days_since_patch,patch_sla_days,control_owner
CORE-BANK-01,2026.06,2026-07-20,60,45,R. Fernandes
CORE-BANK-02,2025.04,2026-07-31,49,45,S. Iyer
PAYMENTS-GW,2026.11,2026-06-19,91,45,A. Mehta
SANCTIONS-SCR,2026.03,2026-07-01,79,45,K. Nair
CRM-RETAIL,2024.03,2026-06-15,95,45,P. Rao
DATA-LAKE-01,2025.11,2026-07-30,50,45,K. Nair
AUTH-SVC,2026.06,2026-08-19,30,45,A. Mehta
API-GATEWAY,2024.06,2026-08-18,31,45,P. Rao
MOBILE-BE,2024.04,2026-08-13,36,45,K. Nair
REPORTING-DW,2025.04,2026-06-17,93,45,P. Rao
