uplift_id,evidence_ref,system_id,exception_type,first_raised,target_remediation_date,status,last_updated
UPL-0001,VULN-1002,CORE-BANK-02,Vulnerability SLA Breach,2026-09-18,2026-10-09,Open,2026-09-18
UPL-0002,VULN-1007,PAYMENTS-GW,Vulnerability SLA Breach,2026-09-18,2026-10-09,Open,2026-09-18
UPL-0003,VULN-1008,SANCTIONS-SCR,Vulnerability SLA Breach,2026-09-18,2026-10-09,Open,2026-09-18
UPL-0004,VULN-1010,CRM-RETAIL,Vulnerability SLA Breach,2026-09-18,2026-10-09,Open,2026-09-18
UPL-0005,VULN-1011,CRM-RETAIL,Vulnerability SLA Breach,2026-09-18,2026-10-09,Open,2026-09-18
UPL-0006,VULN-1013,CRM-RETAIL,Vulnerability SLA Breach,2026-09-18,2026-10-09,Open,2026-09-18
UPL-0007,VULN-1018,AUTH-SVC,Vulnerability SLA Breach,2026-09-18,2026-10-09,Open,2026-09-18
UPL-0008,VULN-1019,AUTH-SVC,Vulnerability SLA Breach,2026-09-18,2026-10-09,Open,2026-09-18
UPL-0009,VULN-1020,AUTH-SVC,Vulnerability SLA Breach,2026-09-18,2026-10-09,Open,2026-09-18
UPL-0010,VULN-1023,API-GATEWAY,Vulnerability SLA Breach,2026-09-18,2026-10-09,Open,2026-09-18
UPL-0011,VULN-1024,API-GATEWAY,Vulnerability SLA Breach,2026-09-18,2026-10-09,Open,2026-09-18
UPL-0012,VULN-1029,REPORTING-DW,Vulnerability SLA Breach,2026-09-18,2026-10-09,Open,2026-09-18
UPL-0013,PATCH-CORE-BANK-01,CORE-BANK-01,Patch SLA Breach,2026-09-18,2026-10-18,Open,2026-09-18
UPL-0014,PATCH-CORE-BANK-02,CORE-BANK-02,Patch SLA Breach,2026-09-18,2026-10-18,Open,2026-09-18
UPL-0015,PATCH-PAYMENTS-GW,PAYMENTS-GW,Patch SLA Breach,2026-09-18,2026-10-18,Open,2026-09-18
UPL-0016,PATCH-SANCTIONS-SCR,SANCTIONS-SCR,Patch SLA Breach,2026-09-18,2026-10-18,Open,2026-09-18
UPL-0017,PATCH-CRM-RETAIL,CRM-RETAIL,Patch SLA Breach,2026-09-18,2026-10-18,Open,2026-09-18
UPL-0018,PATCH-DATA-LAKE-01,DATA-LAKE-01,Patch SLA Breach,2026-09-18,2026-10-18,Open,2026-09-18
UPL-0019,PATCH-REPORTING-DW,REPORTING-DW,Patch SLA Breach,2026-09-18,2026-10-18,Open,2026-09-18
UPL-0020,ACC-0008,CORE-BANK-02,Access Recertification Overdue,2026-09-18,2026-10-02,Open,2026-09-18
UPL-0021,ACC-0010,CORE-BANK-02,Access Recertification Overdue,2026-09-18,2026-10-02,Open,2026-09-18
UPL-0022,ACC-0019,SANCTIONS-SCR,Access Recertification Overdue,2026-09-18,2026-10-02,Open,2026-09-18
UPL-0023,ACC-0024,CRM-RETAIL,Access Recertification Overdue,2026-09-18,2026-10-02,Open,2026-09-18
UPL-0024,ACC-0027,DATA-LAKE-01,Access Recertification Overdue,2026-09-18,2026-10-02,Open,2026-09-18
UPL-0025,ACC-0031,AUTH-SVC,Access Recertification Overdue,2026-09-18,2026-10-02,Open,2026-09-18
UPL-0026,ACC-0032,AUTH-SVC,Access Recertification Overdue,2026-09-18,2026-10-02,Open,2026-09-18
UPL-0027,ACC-0036,API-GATEWAY,Access Recertification Overdue,2026-09-18,2026-10-02,Open,2026-09-18
UPL-0028,ACC-0043,MOBILE-BE,Access Recertification Overdue,2026-09-18,2026-10-02,Open,2026-09-18
